bait,prey,adj.P.Val,logFC
Ace2,Tif1,0.037818484528765,1.47430592648354
Ace2,Taf9,0.0000194816256932787,1.75658664219661
Ace2,Cdc48,0.0125246749647441,1.55092810549434
Ace2,Taf12,0.0000021973593186764,2.95369864080253
Ace2,Bur6,0.00301530773022437,2.29818094688966
Ace2,Yaf9,0.000000000242086132272319,5.00400955997248
Ace2,Gcn5,0.0000388330230357818,2.2617738735552
Ace2,Deb1,0.0415931916281941,1.02981790254141
Ace2,Tra2,0.0000000615199145252592,6.03050357056191
Ace2,Pdc101,0.0120002009642445,1.22817933137261
Ace2,Rrp16,0.00216963048659262,1.63859478532343
Ace2,Ura1,0.0178681520679293,1.66365499302631
Ace2,Bbc1,0.0105610261451738,1.17281442700658
Ace2,Lsd2,0.0104792471752285,1.01233215589335
Ace2,Taf4,0.00154348346612385,1.43466471461275
Ace2,Ssr3,0.00563386200852499,1.32178637122284
Ace2,Ssr2,0.00301530773022437,1.9319529853607
Ace2,Pda1,0.000312773687487972,2.16407240394991
Ace2,Gpm1,0.00132239247582313,2.26332415358884
Ace2,Smd1,0.0178681520679293,2.76959934169093
Ace2,Prw1,0.0104792471752285,1.39208659984449
Ace2,Tbp1,0.0136839267832394,1.63774350304627
Ace2,Png1,1.80868269105407e-12,6.70436131516782
Ace2,SPAC3H8.08c,0.0145999213904949,1.79577964799759
Ace2,Spt20,0.00000910808109039389,2.84732993829109
Ace2,Prz1,0.0167390691935969,1.44614652090625
Ace2,Cmb1,0.0000656889615703592,1.35531344477172
Ace2,Eft202,0.00568498523754122,1.06922890202998
Ace2,Nhp6,0.00435471063205418,2.6395651477767
Ace2,Mst1,0.000000000151346504917564,4.44972252121375
Ace2,Eaf6,0.0000000978795040106987,1.79783846020061
Ace2,Idp1,0.00019598491712937,2.32009005682422
Ace2,Nop9,0.0260173161843601,1.36662826895207
Ace2,Rad24,0.0221972246660673,1.04253495593144
Ace2,Hsp90,0.0025273655201732,1.90573814094338
Ace2,Atd1,0.000193132160727252,1.94002985186157
Ace2,Swc4,1.80868269105407e-12,5.81773544426241
Ace2,SPAP8A3.07c,0.0265814363092176,1.25583934665635
Ace2,Rpl3703,0.0145999213904949,2.99269518528451
Ace2,Iec5,0.0154103148314046,1.35881161467027
Ace2,Cct4,0.00108556170576877,2.25208148786943
Ace2,Reb1,0.000000336548984964321,1.16997313587981
Ace2,Pst1,0.0175637400114126,1.9183397130761
Ace2,Prp2,0.0350525976877552,1.16787621678434
Ace2,Lsd1,0.00263135810659345,1.43026956453444
Ace2,Sam1,0.00177514931176551,1.59038511085927
Ace2,Slm9,0.00265348692897006,1.78044965864656
Ace2,Eaf7,0.0000000261651385848676,3.33772280048866
Ace2,Mot1,0.0205201748752645,1.42951271787109
Ace2,Rpc10,0.0495196704636085,2.72387841124285
Ace2,Fba1,0.0265606868175585,1.07590378228642
Ace2,Smd3,0.0453192877765502,1.1952158288712
Ace2,Bqt4,0.0245857723183535,1.2162764960563
Ace2,Lsm5,0.00719818981247297,1.94386926382892
Ace2,Bdc1,0.0000000214187461729811,4.40801120075761
Ace2,Taf10,0.000000170123893073101,2.9312774939537
Ace2,Trs1,0.00178938555073579,2.0273401689851
Ace2,Ngg1,0.000000461030016027342,2.79309823864776
Ace2,Gua1,0.0090355474244013,1.63051366578127
Ace2,Sbh1,0.037818484528765,1.83004345872789
Ace2,Hmt2,0.0241787196503208,1.31146656069696
Ace2,Ncb2,0.0145999213904949,1.09835022133992
Ace2,Pdb1,0.00000885378446427127,2.89735478852517
Ace2,Hip1,0.00265758607120238,1.3602240839096
Ace2,Hip3,0.0155454665998542,1.40161090962733
Ace2,Act1,0.00000596184225958561,1.01720385615919
Ace2,Erg28,0.048825680564164,1.40885185896538
Ace2,Sre2,0.000014011864454227,2.59158114115259
Ace2,SPBC365.04c,0.0221972246660673,1.12983247892691
Ace2,Php5,0.0150490565592312,1.06677465520023
Ace2,Rsc1,0.00229282870874951,2.04804980791995
Ace2,Prt1,0.0000488081652038901,1.34047108218765
Ace2,Pku80,0.0000966836778570748,2.82335110157745
Ace2,Hip4,0.00010659731638072,2.31238502300835
Ace2,Tra1,0.0000000104145588265501,3.79370434737198
Ace2,Ssr4,0.0065220119968819,1.34830278897181
Ace2,Alp5,0.00000000164845786585275,1.93166117128755
Ace2,Cop1,0.00115955801172115,1.54949849421666
Ace2,Rpb6,0.0104792471752285,2.29429170644575
Ace2,Bio2,0.00132239247582313,1.79578976291541
Ace2,Iec3,0.0129287767170687,1.10667893294623
Ace2,Bdf1,0.0129287767170687,1.20281963819835
Ace2,Taf6,0.000000251766255671409,3.30273215145313
Ace2,Hap2,0.00705281532368578,2.84234988369936
Ace2,Vid21,1.93425020841892e-11,6.09622727814724
Ace2,Msh6,0.0122464799607836,1.65566377411631
Ace2,Rpc34,0.0204422910347924,1.94792104330969
Ace2,Cox5,0.0368775957485907,1.42137271865645
Ace2,Nap1,0.010111221483183,1.6743398404928
Ace2,Mdj1,0.000238968573926077,2.30406508856013
Ace2,Tpx1,0.00000105465407852648,2.83853699904382
Ace2,Taf5,0.0000132702596010138,2.59816146755575
Ace2,Lat1,0.0000253036179378617,4.16157024290583
Ace2,Epl1,0.000000000721161860319312,6.15651787405089
Cdc10,Rps1502,0.0493497119217334,2.08991497733744
Cdc10,Pss1,0.0136413882717863,3.68657582680401
Cdc10,Res2,0.000124912982473915,8.45112515672048
Cdc10,Rad24,0.0219094040879868,3.47939158597617
Cdc10,Rps1202,0.0082413897243402,6.47431520315899
Cdc10,Nrm1,0.00124705632753351,7.74120778652446
Cdc10,Rps21,0.0131244288916203,1.35285433013235
Cdc10,Yox1,0.000183622976340046,7.90069331160669
Cdc10,Rpp102,0.0243954553976392,1.21419632882991
Cdc10,Res1,0.000209113040605689,9.72769255457063
Cuf1,Mpd1,0.00821391931427976,1.7956047469164
Cuf1,Laf1,0.0030422871137837,2.40117644173417
Cuf1,Rpl42,0.00970992795970483,3.29306617585966
Cuf1,Scs22,0.0391181054627755,1.7995696902929
Cuf1,Bur6,0.01908665477113,1.9177917427523
Cuf1,Tif224,0.0243142340199055,1.31589025647967
