Condition	Replicate	Distance_from_nuc_envelope	Radius_of_cell
wt	rep1	0	1.041
wt	rep1	0.108	1.519
wt	rep1	0.108	1.498
wt	rep1	0.108	1.498
wt	rep1	0.108	1.4235
wt	rep1	0.108	1.3745
wt	rep1	0.108	1.3745
wt	rep1	0.108	1.364
wt	rep1	0.108	1.335
wt	rep1	0.108	1.326
wt	rep1	0.108	1.313
wt	rep1	0.108	1.304
wt	rep1	0.108	1.304
wt	rep1	0.108	1.2985
wt	rep1	0.108	1.2985
wt	rep1	0.108	1.2985
wt	rep1	0.108	1.269
wt	rep1	0.108	1.2585
wt	rep1	0.108	1.2445
wt	rep1	0.108	1.2445
wt	rep1	0.108	1.2305
wt	rep1	0.108	1.2295
wt	rep1	0.108	1.2295
wt	rep1	0.108	1.1875
wt	rep1	0.108	1.1835
wt	rep1	0.108	1.1835
wt	rep1	0.108	1.1825
wt	rep1	0.108	1.1825
wt	rep1	0.108	1.1825
wt	rep1	0.108	1.1775
wt	rep1	0.108	1.1615
wt	rep1	0.108	1.1575
wt	rep1	0.108	1.1335
wt	rep1	0.108	1.1335
wt	rep1	0.108	1.1335
wt	rep1	0.108	1.1255
wt	rep1	0.108	1.1255
wt	rep1	0.108	1.1255
wt	rep1	0.108	1.1115
wt	rep1	0.108	1.1115
wt	rep1	0.108	1.106
wt	rep1	0.108	1.0635
wt	rep1	0.108	1.062
wt	rep1	0.108	1.037
wt	rep1	0.108	1.037
wt	rep1	0.108	1.0355
wt	rep1	0.108	0.9645
wt	rep1	0.108	0.9555
wt	rep1	0.152	1.294
wt	rep1	0.108	0.918
wt	rep1	0.152	1.2815
wt	rep1	0.152	1.2815
wt	rep1	0.152	1.2725
wt	rep1	0.152	1.262
wt	rep1	0.152	1.1875
wt	rep1	0.152	1.1775
wt	rep1	0.152	1.1775
wt	rep1	0.152	1.1665
wt	rep1	0.152	1.1665
wt	rep1	0.152	1.1615
wt	rep1	0.152	1.1615
wt	rep1	0.152	1.1425
wt	rep1	0.152	1.0635
wt	rep1	0.152	1.0635
wt	rep1	0.152	1.047
wt	rep1	0.152	1.03
wt	rep1	0.152	1.03
wt	rep1	0.216	1.4595
wt	rep1	0.216	1.4565
wt	rep1	0.216	1.386
wt	rep1	0.152	0.972
wt	rep1	0.152	0.972
wt	rep1	0.152	0.972
wt	rep1	0.152	0.954
wt	rep1	0.216	1.3215
wt	rep1	0.152	0.918
wt	rep1	0.216	1.2725
wt	rep1	0.216	1.2725
wt	rep1	0.152	0.8925
wt	rep1	0.216	1.241
wt	rep1	0.216	1.2315
wt	rep1	0.216	1.2295
wt	rep1	0.216	1.2295
wt	rep1	0.241	1.365
wt	rep1	0.241	1.348
wt	rep1	0.216	1.2055
wt	rep1	0.241	1.286
wt	rep1	0.216	1.1335
wt	rep1	0.216	1.1335
wt	rep1	0.241	1.241
wt	rep1	0.241	1.22
wt	rep1	0.216	1.0795
wt	rep1	0.241	1.197
wt	rep1	0.241	1.186
wt	rep1	0.241	1.1615
wt	rep1	0.216	1.037
wt	rep1	0.216	1.03
wt	rep1	0.241	1.1255
wt	rep1	0.241	1.1115
wt	rep1	0.241	1.1115
wt	rep1	0.241	1.11
wt	rep1	0.241	1.0915
wt	rep1	0.241	1.0915
wt	rep1	0.241	1.085
wt	rep1	0.216	0.972
wt	rep1	0.241	1.078
wt	rep1	0.305	1.326
wt	rep1	0.216	0.9165
wt	rep1	0.216	0.9165
wt	rep1	0.241	1.017
wt	rep1	0.241	1.003
wt	rep1	0.241	1.003
wt	rep1	0.341	1.386
wt	rep1	0.341	1.386
wt	rep1	0.241	0.9705
wt	rep1	0.305	1.2055
wt	rep1	0.241	0.943
wt	rep1	0.241	0.943
wt	rep1	0.389	1.518
wt	rep1	0.389	1.518
wt	rep1	0.305	1.1665
wt	rep1	0.305	1.122
wt	rep1	0.305	1.106
wt	rep1	0.305	1.0995
wt	rep1	0.341	1.2055
wt	rep1	0.323	1.106
wt	rep1	0.323	1.106
wt	rep1	0.323	1.0915
wt	rep1	0.341	1.122
wt	rep1	0.323	1.062
wt	rep1	0.323	1.062
wt	rep1	0.323	1.047
wt	rep1	0.445	1.4325
wt	rep1	0.445	1.4325
wt	rep1	0.341	1.0905
wt	rep1	0.389	1.2305
wt	rep1	0.323	0.923
wt	rep1	0.431	1.2315
wt	rep1	0.323	0.918
wt	rep1	0.323	0.918
wt	rep1	0.445	1.197
wt	rep1	0.431	1.1435
wt	rep1	0.389	1.003
wt	rep1	0.482	1.2295
wt	rep1	0.431	1.0835
wt	rep1	0.539	1.1615
wt	rep1	0.539	1.1335
wt	rep1	0.55	1.03
wt	rep1	0.647	1.137
wt	rep1	0.629	1.059
wt	rep1	0.889	1.1435
wt	rep2	0	1.2725
wt	rep2	0	1.4245
wt	rep2	0.108	1.4015
wt	rep2	0.108	1.3915
wt	rep2	0.108	1.364
wt	rep2	0.108	1.3605
wt	rep2	0.108	1.313
wt	rep2	0.108	1.296
wt	rep2	0.108	1.296
wt	rep2	0.108	1.296
wt	rep2	0.108	1.278
wt	rep2	0.108	1.2575
wt	rep2	0.108	1.254
wt	rep2	0.108	1.241
wt	rep2	0.108	1.2315
wt	rep2	0.108	1.222
wt	rep2	0.108	1.2115
wt	rep2	0.108	1.2115
wt	rep2	0.108	1.2055
wt	rep2	0.108	1.2055
wt	rep2	0.108	1.191
wt	rep2	0.108	1.1825
wt	rep2	0.108	1.1615
