Condition	Replicate	Distance_from_nuc_envelope	Radius_of_cell
wt_dKO	rep1	0.108	1.4805
wt_dKO	rep1	0.108	1.4025
wt_dKO	rep1	0.108	1.3745
wt_dKO	rep1	0.108	1.364
wt_dKO	rep1	0.108	1.3575
wt_dKO	rep1	0.108	1.352
wt_dKO	rep1	0.108	1.352
wt_dKO	rep1	0.108	1.351
wt_dKO	rep1	0.108	1.349
wt_dKO	rep1	0.108	1.3335
wt_dKO	rep1	0.108	1.3335
wt_dKO	rep1	0.108	1.316
wt_dKO	rep1	0.108	1.286
wt_dKO	rep1	0.108	1.286
wt_dKO	rep1	0.108	1.286
wt_dKO	rep1	0.108	1.2815
wt_dKO	rep1	0.108	1.269
wt_dKO	rep1	0.108	1.2585
wt_dKO	rep1	0.108	1.2315
wt_dKO	rep1	0.108	1.2295
wt_dKO	rep1	0.108	1.222
wt_dKO	rep1	0.108	1.2115
wt_dKO	rep1	0.108	1.2055
wt_dKO	rep1	0.108	1.2055
wt_dKO	rep1	0.108	1.2055
wt_dKO	rep1	0.108	1.197
wt_dKO	rep1	0.108	1.197
wt_dKO	rep1	0.108	1.197
wt_dKO	rep1	0.108	1.197
wt_dKO	rep1	0.108	1.197
wt_dKO	rep1	0.108	1.1935
wt_dKO	rep1	0.108	1.1875
wt_dKO	rep1	0.108	1.1875
wt_dKO	rep1	0.108	1.186
wt_dKO	rep1	0.108	1.1835
wt_dKO	rep1	0.108	1.1835
wt_dKO	rep1	0.108	1.1825
wt_dKO	rep1	0.108	1.1825
wt_dKO	rep1	0.108	1.1825
wt_dKO	rep1	0.108	1.1775
wt_dKO	rep1	0.108	1.1665
wt_dKO	rep1	0.108	1.1615
wt_dKO	rep1	0.108	1.1535
wt_dKO	rep1	0.108	1.1435
wt_dKO	rep1	0.108	1.1425
wt_dKO	rep1	0.108	1.1425
wt_dKO	rep1	0.108	1.137
wt_dKO	rep1	0.108	1.1335
wt_dKO	rep1	0.108	1.1335
wt_dKO	rep1	0.108	1.1335
wt_dKO	rep1	0.108	1.122
wt_dKO	rep1	0.108	1.1115
wt_dKO	rep1	0.108	1.1115
wt_dKO	rep1	0.108	1.1115
wt_dKO	rep1	0.108	1.106
wt_dKO	rep1	0.108	1.106
wt_dKO	rep1	0.108	1.0995
wt_dKO	rep1	0.108	1.0915
wt_dKO	rep1	0.108	1.0915
wt_dKO	rep1	0.108	1.0905
wt_dKO	rep1	0.108	1.078
wt_dKO	rep1	0.108	1.07
wt_dKO	rep1	0.108	1.0675
wt_dKO	rep1	0.108	1.0635
wt_dKO	rep1	0.108	1.059
wt_dKO	rep1	0.108	1.047
wt_dKO	rep1	0.108	1.047
wt_dKO	rep1	0.108	1.037
wt_dKO	rep1	0.108	1.037
wt_dKO	rep1	0.108	1.0355
wt_dKO	rep1	0.108	1.017
wt_dKO	rep1	0.108	1.013
wt_dKO	rep1	0.108	1.007
wt_dKO	rep1	0.108	1.003
wt_dKO	rep1	0.108	0.994
wt_dKO	rep1	0.108	0.991
wt_dKO	rep1	0.152	1.386
wt_dKO	rep1	0.108	0.9765
wt_dKO	rep1	0.152	1.304
wt_dKO	rep1	0.152	1.263
wt_dKO	rep1	0.152	1.2585
wt_dKO	rep1	0.108	0.8925
wt_dKO	rep1	0.152	1.254
wt_dKO	rep1	0.108	0.884
wt_dKO	rep1	0.152	1.2315
wt_dKO	rep1	0.108	0.8645
wt_dKO	rep1	0.152	1.1825
wt_dKO	rep1	0.152	1.164
wt_dKO	rep1	0.152	1.1575
wt_dKO	rep1	0.152	1.1435
wt_dKO	rep1	0.152	1.137
wt_dKO	rep1	0.152	1.1335
wt_dKO	rep1	0.152	1.1115
wt_dKO	rep1	0.152	1.1115
wt_dKO	rep1	0.152	1.11
wt_dKO	rep1	0.152	1.0915
wt_dKO	rep1	0.152	1.0905
wt_dKO	rep1	0.152	1.0905
wt_dKO	rep1	0.152	1.0835
wt_dKO	rep1	0.152	1.078
wt_dKO	rep1	0.152	1.0635
wt_dKO	rep1	0.152	1.0635
wt_dKO	rep1	0.152	1.059
wt_dKO	rep1	0.152	1.047
wt_dKO	rep1	0.152	1.037
wt_dKO	rep1	0.152	1.0355
wt_dKO	rep1	0.152	1.03
wt_dKO	rep1	0.152	1.023
wt_dKO	rep1	0.216	1.4515
wt_dKO	rep1	0.152	0.9895
wt_dKO	rep1	0.152	0.9165
wt_dKO	rep1	0.216	1.2985
wt_dKO	rep1	0.216	1.286
wt_dKO	rep1	0.216	1.2815
wt_dKO	rep1	0.241	1.411
wt_dKO	rep1	0.241	1.3985
wt_dKO	rep1	0.216	1.241
wt_dKO	rep1	0.216	1.241
wt_dKO	rep1	0.241	1.3775
wt_dKO	rep1	0.216	1.2315
wt_dKO	rep1	0.216	1.2315
wt_dKO	rep1	0.152	0.8625
wt_dKO	rep1	0.241	1.3575
wt_dKO	rep1	0.216	1.2115
wt_dKO	rep1	0.241	1.348
wt_dKO	rep1	0.216	1.2055
wt_dKO	rep1	0.216	1.197
wt_dKO	rep1	0.216	1.197
wt_dKO	rep1	0.216	1.191
wt_dKO	rep1	0.241	1.313
wt_dKO	rep1	0.241	1.303
wt_dKO	rep1	0.216	1.164
wt_dKO	rep1	0.241	1.296
wt_dKO	rep1	0.241	1.2725
wt_dKO	rep1	0.241	1.2585
wt_dKO	rep1	0.216	1.1255
wt_dKO	rep1	0.216	1.122
wt_dKO	rep1	0.241	1.22
wt_dKO	rep1	0.216	1.0905
wt_dKO	rep1	0.216	1.0835
wt_dKO	rep1	0.241	1.197
wt_dKO	rep1	0.216	1.0675
wt_dKO	rep1	0.216	1.0635
wt_dKO	rep1	0.241	1.186
wt_dKO	rep1	0.241	1.1835
wt_dKO	rep1	0.216	1.059
wt_dKO	rep1	0.216	1.037
wt_dKO	rep1	0.216	1.0355
wt_dKO	rep1	0.241	1.1535
wt_dKO	rep1	0.216	1.023
wt_dKO	rep1	0.216	1.023
wt_dKO	rep1	0.241	1.137
wt_dKO	rep1	0.241	1.137
wt_dKO	rep1	0.241	1.137
wt_dKO	rep1	0.241	1.1115
wt_dKO	rep1	0.241	1.1115
wt_dKO	rep1	0.241	1.1115
wt_dKO	rep1	0.241	1.11
wt_dKO	rep1	0.216	0.994
wt_dKO	rep1	0.216	0.972
wt_dKO	rep1	0.241	1.074
wt_dKO	rep1	0.216	0.96
wt_dKO	rep1	0.305	1.349
wt_dKO	rep1	0.216	0.954
wt_dKO	rep1	0.241	1.047
wt_dKO	rep1	0.241	1.037
wt_dKO	rep1	0.241	1.03
wt_dKO	rep1	0.216	0.918
wt_dKO	rep1	0.305	1.296
wt_dKO	rep1	0.305	1.278
wt_dKO	rep1	0.241	0.994
wt_dKO	rep1	0.305	1.241
wt_dKO	rep1	0.216	0.8775
wt_dKO	rep1	0.241	0.972
wt_dKO	rep1	0.241	0.972
wt_dKO	rep1	0.241	0.96
wt_dKO	rep1	0.323	1.2445
wt_dKO	rep1	0.305	1.1665
wt_dKO	rep1	0.341	1.304
wt_dKO	rep1	0.341	1.2985
wt_dKO	rep1	0.389	1.4725
wt_dKO	rep1	0.323	1.197
wt_dKO	rep1	0.323	1.1825
wt_dKO	rep1	0.323	1.1825
wt_dKO	rep1	0.323	1.164
wt_dKO	rep1	0.389	1.3985
wt_dKO	rep1	0.323	1.1535
wt_dKO	rep1	0.216	0.766
wt_dKO	rep1	0.341	1.1875
wt_dKO	rep1	0.323	1.11
wt_dKO	rep1	0.323	1.11
wt_dKO	rep1	0.341	1.1525
wt_dKO	rep1	0.323	1.0915
wt_dKO	rep1	0.323	1.0905
wt_dKO	rep1	0.341	1.146
wt_dKO	rep1	0.341	1.1335
wt_dKO	rep1	0.305	0.994
wt_dKO	rep1	0.305	0.994
wt_dKO	rep1	0.341	1.106
wt_dKO	rep1	0.341	1.0995
wt_dKO	rep1	0.341	1.0995
wt_dKO	rep1	0.323	1.037
wt_dKO	rep1	0.305	0.9765
wt_dKO	rep1	0.389	1.222
wt_dKO	rep1	0.323	0.994
wt_dKO	rep1	0.341	1.037
wt_dKO	rep1	0.389	1.1825
wt_dKO	rep1	0.431	1.305
wt_dKO	rep1	0.445	1.339
wt_dKO	rep1	0.482	1.4355
wt_dKO	rep1	0.457	1.335
wt_dKO	rep1	0.389	1.11
wt_dKO	rep1	0.341	0.96
wt_dKO	rep1	0.341	0.9555
wt_dKO	rep1	0.305	0.842
wt_dKO	rep1	0.389	1.07
wt_dKO	rep1	0.539	1.4725
wt_dKO	rep1	0.389	1.047
wt_dKO	rep1	0.445	1.1935
wt_dKO	rep1	0.431	1.137
wt_dKO	rep1	0.389	1.023
wt_dKO	rep1	0.431	1.0915
wt_dKO	rep1	0.445	1.074
wt_dKO	rep1	0.445	1.062
wt_dKO	rep1	0.482	1.1435
wt_dKO	rep1	0.55	1.2815
wt_dKO	rep1	0.482	1.1115
wt_dKO	rep1	0.445	1.003
wt_dKO	rep1	0.482	1.0835
wt_dKO	rep1	0.482	1.037
wt_dKO	rep1	0.581	1.2445
