PomBaseID	Gene_name	Product_description	UniprotID
SPBC887.14c	pfh1	5' to 3' DNA helicase Pif1/Pfh1	Q9UUA2
SPAC1250.04c	atl1	alkyltransferase-like protein Atl1	Q9UTN9
SPAC17C9.01c	nuc2	anaphase-promoting complex TPR lobe subcomplex subunit Apc3	P10505
SPCC622.17	apn1	"AP endonuclease, minor transcript isoform Apn1"	P50525
SPBC3D6.10	apn2	AP-endonuclease Apn2	P87175
SPCC18.09c	hnt3	aprataxin Hnt3	O74859
SPAC20H4.04	fml2	ATP-dependent 3' to 5' DNA helicase	Q9HE09
SPAC9.05	fml1	"ATP-dependent 3' to 5' DNA helicase, FANCM ortholog Fml1"	Q9UT23
SPAC6G9.10c	sen1	ATP-dependent 5' to 3' DNA/RNA helicase Sen1	Q92355
SPAC13G6.01c	rad8	ATP-dependent chromatin remodeller/ubiquitin-protein ligase E3 Rad8	P36607
SPAC3G6.11	chl1	ATP-dependent DNA helicase Chl1	O14147
SPAC4H3.05	srs2	"ATP-dependent DNA helicase, UvrD subfamily"	Q10213
SPAC22F3.03c	rdh54	ATP-dependent DNA translocase Rdh54	Q09772
SPBC29A10.10c	dbl8	ATP-dependent RNA helicase Dbl8	O94387
SPAC16C9.06c	upf1	ATP-dependent RNA helicase Upf1	Q09820
SPBC839.16	thf1	"C1-5,6,7,8-tetrahydrofolate (THF) synthase, trifunctional enzyme Thf1"	Q8WZJ7
SPBC725.11c	php2	CCAAT-binding factor complex subunit Php2	P24488
SPAC23C11.08	php3	CCAAT-binding factor complex subunit Php3	P36611
SPAC1783.05	hrp1	"CENP-A chaperone, CHD family Hrp1"	Q9US25
SPAC9E9.10c	cbh1	"CENP-B homolog Cbh1, domesticated transposable element"	O14423
SPBC14F5.12c	cbh2	"CENP-B homolog Cbh2, domesticated transposable element"	O60108
SPBC1105.04c	cbp1	"CENP-B homolog Cbp1, domesticated transposable element"	P49777
SPBC1861.01c	cnp3	CENP-C ortholog Cnp3	Q9USR9
SPBC2D10.16	mhf1	"CENP-S ortholog, FANCM-MHF complex subunit Mhf1"	O74807
SPBC800.13	cnp20	"CENP-T histone fold, kinetochore scaffold protein"	Q9HGK9
SPCC576.12c	mhf2	"CENP-X ortholog, FANCM-MHF complex subunit Mhf2"	O74896
