TFID	PomBaseID	Gene_name	UniprotID	Taxonomic_distribution	DBD_class	DBD_feature	Conserved_human	Predicted_conserved_mouse
ID1	SPAC6G10.12c	ace2	O14258	other	COG5048	Zinc-coordinated	FALSE	FALSE
ID2	SPBC336.12c	cdc10	P01129	fungi only	KilA-N	TF homology	FALSE	FALSE
ID3	SPBC1683.13c	cha4	Q9P6I9	fungi only	Zn(II)2Cys6	Zinc-coordinated	FALSE	FALSE
ID4	SPAC31A2.11c	cuf1	Q09728	fungi only	Copper-fist	TF homology	FALSE	FALSE
ID5	SPCC584.02	cuf2	O94588	fungi only	Copper-fist	TF homology	FALSE	FALSE
ID6	SPAC1B1.01	deb1	O13862	other	zf-C2H2	Zinc-coordinated	FALSE	FALSE
ID7	SPAC56F8.16	esc1	Q04635	other	bHLH_SF	Basic helix-loop-helix	FALSE	FALSE
ID8	SPAC23E2.01	fep1	Q10134	other	ZnF_GATA	Zinc-coordinated	FALSE	TRUE
ID9	SPAC1142.08	fhl1	O14270	other	COG5025 (FH)	Forkhead	FALSE	FALSE
ID10	SPCC1393.08	fil1	O94720	other	ZnF_GATA	Zinc-coordinated	FALSE	TRUE
ID11	SPBC16G5.15c	fkh2	O60129	other	COG5025 (FH)	Forkhead	FALSE	TRUE
ID12	SPBC1289.10c	adn2	O94619	fungi only	Other	TF homology	FALSE	FALSE
ID13	SPCC1902.01	gaf1	Q10280	eukaryotes only, fungi and metazoa	ZnF_GATA	Zinc-coordinated	TRUE	TRUE
ID14	SPAC2E12.02	hsf1	Q02953	eukaryotes only, fungi and metazoa	HSF_DNA-bind	Heat shock factors	TRUE	TRUE
ID15	SPCC1494.10	adn3	O74522	fungi only	Other	TF homology	FALSE	FALSE
ID16	SPCC290.04	ams2	Q9URT4	fungi only	ZnF_GATA	Zinc-coordinated	FALSE	FALSE
ID17	SPBC725.16	res1	P33520	fungi only	KilA-N	TF homology	FALSE	FALSE
ID18	SPBC29B5.01	atf1	P52890	other	bZIP	Basic leucine zipper	FALSE	FALSE
ID19	SPAC3G9.14	sak1	P48383	eukaryotes only, fungi and metazoa	Other	TF homology	TRUE	TRUE
ID20	SPAC13G7.10	teb1	Q10274	eukaryotes only, fungi and metazoa	SANT	TF homology	TRUE	TRUE
ID21	SPBC2F12.09c	atf21	P78962	other	bZIP	Basic leucine zipper	FALSE	FALSE
ID22	SPBC1198.04c	zas1	Q9UTS5	fungi only	COG5048	Zinc-coordinated	FALSE	FALSE
ID23	SPAC22F3.02	atf31	Q09771	other	bZIP	Basic leucine zipper	FALSE	FALSE
